trait,pheno,geno,pval,est
PHT,perse,comp,0.0691350814748197,0.000249570210145807
PHT,perse,load,0.0470177702202526,-0.00034337207415729
PHT,BPHmax,comp,0.0790353602225895,0.000181826705058859
PHT,BPHmax,load,0.17174665444857,-0.000179433909956442
PHT,pBPHmax,comp,0.418635242807844,6.39420544141271e-07
PHT,pBPHmax,load,0.686805826748658,-4.03122680188381e-07
PHT,MPH,comp,0.236353240281748,8.07013534171198e-05
PHT,MPH,load,0.425560578996083,-6.87499068923233e-05
PHT,pMPH,comp,0.445763934578467,-5.99275764515068e-07
PHT,pMPH,load,0.286774539195713,1.05442990792168e-06
EHT,perse,comp,0.0134055638016792,0.000192907581981795
EHT,perse,load,0.00711447768553564,-0.000263862059168457
EHT,BPHmax,comp,0.322594398538572,5.23821200556109e-05
EHT,BPHmax,load,0.439018540609222,-5.1804086788393e-05
EHT,pBPHmax,comp,0.942630131937168,5.24342187939589e-08
EHT,pBPHmax,load,0.803339752477859,2.28969979436879e-07
EHT,MPH,comp,0.278338276251244,4.59761646303707e-05
EHT,MPH,load,0.410042090988435,-4.41867778521103e-05
EHT,pMPH,comp,0.645190233962768,-4.88641589471662e-07
EHT,pMPH,load,0.42765482017914,1.06074791155678e-06
DTS,perse,comp,0.694945133639287,6.60913709939806e-06
DTS,perse,load,0.798600442610086,-5.42980592984007e-06
DTS,BPHmax,comp,0.14470169686626,1.99535131560173e-05
DTS,BPHmax,load,0.0668392922853365,-3.14959745152561e-05
DTS,pBPHmax,comp,0.145781906224991,2.48686288547239e-07
DTS,pBPHmax,load,0.0708286503679169,-3.88103667366806e-07
DTS,MPH,comp,0.592615578939455,3.95634854788835e-06
DTS,MPH,load,0.482193690435039,-6.55385478430327e-06
DTS,pMPH,comp,0.44327299230455,-1.75056222009755e-07
DTS,pMPH,load,0.341839304466374,2.73606909546125e-07
DTP,perse,comp,0.871645948818405,2.52536469768538e-06
DTP,perse,load,0.992724991596047,-1.79905807325039e-07
DTP,BPHmax,comp,0.24481521219895,1.35021397045935e-05
DTP,BPHmax,load,0.246842253713494,-1.69703512863735e-05
DTP,pBPHmax,comp,0.266146004942787,1.74399549361376e-07
DTP,pBPHmax,load,0.270359606238845,-2.182184423558e-07
DTP,MPH,comp,0.603181803751087,-3.24004059732454e-06
DTP,MPH,load,0.431207422953857,6.18399485712176e-06
DTP,pMPH,comp,0.152683253416504,-2.97497593902062e-07
DTP,pMPH,load,0.092784798616299,4.40003436556861e-07
ASI,perse,comp,0.332924155742975,-3.64260414625037e-06
ASI,perse,load,0.339675966823984,4.53440754112525e-06
ASI,BPHmax,comp,0.789998008472458,-1.28378572028638e-06
ASI,BPHmax,load,0.428651370660713,4.80545132662101e-06
ASI,pBPHmax,comp,0.801585823858002,7.89336751555515e-07
ASI,pBPHmax,load,0.49272551451934,-2.71534761598131e-06
ASI,MPH,comp,0.120575578825709,-6.74741925918466e-06
ASI,MPH,load,0.0263673821415748,1.20643207103579e-05
ASI,pMPH,comp,0.00388133961741582,5.01569164466207e-06
ASI,pMPH,load,0.00295881476483635,-6.5033791137503e-06
GY,perse,comp,0.00644055987690659,0.000233959727138036
GY,perse,load,0.00183364221988818,-0.000334776456722298
GY,BPHmax,comp,0.0989419892781335,0.000178382209900504
GY,BPHmax,load,0.146318163266124,-0.000198703141209937
GY,pBPHmax,comp,0.802181318477054,7.88324963560715e-07
GY,pBPHmax,load,0.899677781948284,5.00810415717361e-07
GY,MPH,comp,0.213058631021962,0.000139240435535553
GY,MPH,load,0.279301820038804,-0.000152929212183186
GY,pMPH,comp,0.771939160032336,-1.17055664734232e-06
GY,pMPH,load,0.506254139990417,3.38352570347898e-06
TW,perse,comp,0.975674980614368,-2.345986328324e-07
TW,perse,load,0.738961442534712,3.23468601324791e-06
TW,BPHmax,comp,0.162206424974969,1.20132006399641e-05
TW,BPHmax,load,0.183244442954808,-1.44482347010919e-05
TW,pBPHmax,comp,0.164284908586547,2.06087990753946e-07
TW,pBPHmax,load,0.188342893606887,-2.46238926227033e-07
TW,MPH,comp,0.353338413469426,7.51424660490515e-06
TW,MPH,load,0.278799836367609,-1.10538159942413e-05
TW,pMPH,comp,0.791675853569835,5.14336370205598e-08
TW,pMPH,load,0.574256376727305,-1.3794641487577e-07
