trait,pheno,geno,pval,est
PHT,perse,comp,0.585258576477948,0.000204024933425869
PHT,perse,load,0.364082568820312,-0.00038703231301534
PHT,BPHmax,comp,0.0684207349997125,0.000516750878649591
PHT,BPHmax,load,0.465335086048495,-0.000239890892990632
PHT,pBPHmax,comp,0.153631185528653,3.23366978287746e-06
PHT,pBPHmax,load,0.72468653437433,-9.21052552045189e-07
PHT,MPH,comp,0.119047817702361,0.000296318513821822
PHT,MPH,load,0.63155052087116,-0.000105332025019802
PHT,pMPH,comp,0.635122257389682,1.02468521203708e-06
PHT,pMPH,load,0.742139984415696,8.12854352624681e-07
EHT,perse,comp,0.883201047884175,3.06194449803535e-05
EHT,perse,load,0.491720280864251,-0.00016351031879333
EHT,BPHmax,comp,0.0463879752413647,0.000265157168788992
EHT,BPHmax,load,0.252553068721232,-0.000176367323842969
EHT,pBPHmax,comp,0.028343358186352,4.22539082359165e-06
EHT,pBPHmax,load,0.288542452955198,-2.37983455833632e-06
EHT,MPH,comp,0.234409034637401,0.000139709445063075
EHT,MPH,load,0.660081991334586,-5.94309065327396e-05
EHT,pMPH,comp,0.641650392780014,1.39011399494223e-06
EHT,pMPH,load,0.723138438260526,1.21051761553597e-06
DTS,perse,comp,0.494243362486774,-3.24380572918019e-05
DTS,perse,load,0.361402206760145,4.94377961904039e-05
DTS,BPHmax,comp,0.972972354818976,-1.33879123118191e-06
DTS,BPHmax,load,0.403678229368887,-3.76066319713844e-05
DTS,pBPHmax,comp,0.942103152989485,-3.58110960741524e-08
DTS,pBPHmax,load,0.451756174524374,-4.23137484551968e-07
DTS,MPH,comp,0.96014209551834,-1.0374818176166e-06
DTS,MPH,load,0.705907884288913,-8.95177124358744e-06
DTS,pMPH,comp,0.978319991253911,-1.75022365634873e-08
DTS,pMPH,load,0.653605702310695,3.30170621697624e-07
DTP,perse,comp,0.538296058201486,-2.69652309820922e-05
DTP,perse,load,0.364579311087864,4.53322520559147e-05
DTP,BPHmax,comp,0.496140624020305,2.28005476806412e-05
DTP,BPHmax,load,0.525551156701892,-2.43253570151019e-05
DTP,pBPHmax,comp,0.518157635610854,2.90916749045167e-07
DTP,pBPHmax,load,0.554526544335582,-3.04335174074534e-07
DTP,MPH,comp,0.721973404183724,6.39379370676815e-06
DTP,MPH,load,0.759750991690969,6.2843791909439e-06
DTP,pMPH,comp,0.807140628659493,-1.43144781681388e-07
DTP,pMPH,load,0.400471917155673,5.62006460859898e-07
ASI,perse,comp,0.639707799815604,4.99775493535152e-06
ASI,perse,load,0.708522124120548,-4.56564043977618e-06
ASI,BPHmax,comp,0.229535481858249,1.63206054489239e-05
ASI,BPHmax,load,0.860239843957811,2.75305055200617e-06
ASI,pBPHmax,comp,0.291222126725062,-9.27099795684464e-06
ASI,pBPHmax,load,0.927828244689337,-9.14572849974034e-07
ASI,MPH,comp,0.521417786781737,7.68025260921901e-06
ASI,MPH,load,0.293927938614079,1.43285498543705e-05
ASI,pMPH,comp,0.640694389410833,2.24863400691452e-06
ASI,pMPH,load,0.452177070497543,-4.13478845380793e-06
GY,perse,comp,0.00388325587775606,0.000632895207838854
GY,perse,load,0.000198094568242383,-0.000909348903910748
GY,BPHmax,comp,0.0018577527837394,0.000906526007964918
GY,BPHmax,load,0.0204836669913341,-0.000787530043042451
GY,pBPHmax,comp,0.0227115133295011,2.04967332068489e-05
GY,pBPHmax,load,0.25183455896888,-1.20060159064913e-05
GY,MPH,comp,0.00324190238554628,0.000876419096800671
GY,MPH,load,0.02341341442344,-0.000784417051566276
GY,pMPH,comp,0.0410181158770834,2.26909609090255e-05
GY,pMPH,load,0.348342379858735,-1.20953052229045e-05
TW,perse,comp,0.880228348356921,3.04163301816677e-06
TW,perse,load,0.568510593612164,1.31434254098794e-05
TW,BPHmax,comp,0.740423598154327,7.8131714900085e-06
TW,BPHmax,load,0.842898292670028,-5.34636351622415e-06
TW,pBPHmax,comp,0.735214359730434,1.37184370977407e-07
TW,pBPHmax,load,0.854464676084542,-8.5109855895187e-08
TW,MPH,comp,0.752794807492336,-6.81924853366455e-06
TW,MPH,load,0.8900776925854,-3.42293674599474e-06
TW,pMPH,comp,0.470351415503833,-3.83056433948341e-07
TW,pMPH,load,0.934810239314094,-4.97495976110239e-08
