pid,tot,ben,del,sumRS
B73,339504,294901,44603,82819.5587196
LH1,331949,195316,136633,252310.5423198
MO17,325700,181795,143905,266314.4654257
PHG35,329354,202506,126848,235062.5445267
PHG47,328590,188260,140330,260720.534129
PHJ40,331550,189962,141588,262945.9211
LH123HT,314513,173012,141501,261629.0427356
LH82,320580,181297,139283,258285.449827
PH207,317934,179638,138296,256338.5727973
PHG39,326035,194831,131204,243106.6557202
PHG84,330860,187264,143596,265906.8839558
PHZ51,327520,184399,143121,265288.9652187
