file,genvar,resvar,totvar,h2,trait,mode,ptype
asi_a2,0.433188,0.35955,0.792738,0.546445,asi,a2,bph
asi_d2,0.448978,0.333882,0.782859,0.57351,asi,d2,bph
asi_h2,0.591456,0.216979,0.808435,0.731606,asi,h2,bph
dtp_a2,1.26416,2.91586,4.18002,0.302429,dtp,a2,bph
dtp_d2,3.39022,0.952836,4.34306,0.780607,dtp,d2,bph
dtp_h2,3.69332,0.68799,4.38131,0.842972,dtp,h2,bph
dts_a2,1.36344,4.13811,5.50155,0.247828,dts,a2,bph
dts_d2,4.17363,1.48514,5.65877,0.737552,dts,d2,bph
dts_h2,5.14288,0.673842,5.81673,0.884154,dts,h2,bph
eht_a2,7.86435,52.4579,60.3223,0.130372,eht,a2,bph
eht_d2,0.178521,62.8765,63.055,0.0028312,eht,d2,bph
eht_h2,0.613328,61.92,62.5333,0.00980801,eht,h2,bph
gy_a2,125.232,128.376,253.608,0.493801,gy,a2,bph
gy_d2,159.454,95.4407,254.895,0.625569,gy,d2,bph
gy_h2,227.001,34.7006,261.702,0.867404,gy,h2,bph
pht_a2,9.81413,230.183,239.997,0.0408928,pht,a2,bph
pht_d2,103.833,128.149,231.982,0.447592,pht,d2,bph
pht_h2,221.661,19.4299,241.091,0.919408,pht,h2,bph
tw_a2,1.15333,0.472496,1.62582,0.70938,tw,a2,bph
tw_d2,0.89985,0.701718,1.60157,0.561856,tw,d2,bph
tw_h2,0.973784,0.633673,1.60746,0.605792,tw,h2,bph
