id,DN,nonmiss,chr,type,DR,geno
BKN009,206982,1065751,1,overall,0.1942,landrace
BKN010,205389,1064983,1,overall,0.1929,landrace
BKN011,200020,1065341,1,overall,0.1878,landrace
BKN014,208882,1060658,1,overall,0.1969,landrace
BKN015,206771,1058056,1,overall,0.1954,landrace
BKN016,207591,1063045,1,overall,0.1953,landrace
BKN017,200550,1029432,1,overall,0.1948,landrace
BKN018,203743,1070464,1,overall,0.1903,landrace
BKN019,205950,1071490,1,overall,0.1922,landrace
BKN020,204031,1068539,1,overall,0.1909,landrace
BKN022,205380,1061830,1,overall,0.1934,landrace
BKN023,199883,1042545,1,overall,0.1917,landrace
BKN025,204570,1056617,1,overall,0.1936,landrace
BKN026,199827,1061065,1,overall,0.1883,landrace
BKN027,205562,1072505,1,overall,0.1917,landrace
BKN029,201904,1043103,1,overall,0.1936,landrace
BKN030,202290,1038706,1,overall,0.1948,landrace
BKN031,204950,1055236,1,overall,0.1942,landrace
BKN032,204832,1063194,1,overall,0.1927,landrace
BKN033,203728,1045126,1,overall,0.1949,landrace
BKN034,202886,1048343,1,overall,0.1935,landrace
BKN035,204555,1056423,1,overall,0.1936,landrace
BKN040,181980,946340,1,overall,0.1923,landrace
B73,180145,1197517,1,overall,0.1504,maize
LH1,94304,514824,1,overall,0.1832,maize
LH123HT,60689,322502,1,overall,0.1882,maize
LH82,88999,490181,1,overall,0.1816,maize
Mo17,220094,1140778,1,overall,0.1929,maize
PH207,75738,401214,1,overall,0.1888,maize
PHG35,96218,515794,1,overall,0.1865,maize
PHG39,90677,496364,1,overall,0.1827,maize
PHG47,97298,512611,1,overall,0.1898,maize
PHG84,77200,414242,1,overall,0.1864,maize
PHJ40,88588,469639,1,overall,0.1886,maize
PHZ51,115239,614761,1,overall,0.1875,maize
BKN009,115763,1065751,1,seg,0.1086,landrace
BKN010,114541,1064983,1,seg,0.1076,landrace
BKN011,108662,1065341,1,seg,0.102,landrace
BKN014,118161,1060658,1,seg,0.1114,landrace
BKN015,116108,1058056,1,seg,0.1097,landrace
BKN016,116698,1063045,1,seg,0.1098,landrace
BKN017,111962,1029432,1,seg,0.1088,landrace
BKN018,112568,1070464,1,seg,0.1052,landrace
BKN019,114627,1071490,1,seg,0.107,landrace
BKN020,112610,1068539,1,seg,0.1054,landrace
BKN022,114920,1061830,1,seg,0.1082,landrace
BKN023,110132,1042545,1,seg,0.1056,landrace
BKN025,113843,1056617,1,seg,0.1077,landrace
BKN026,108989,1061065,1,seg,0.1027,landrace
BKN027,114023,1072505,1,seg,0.1063,landrace
BKN029,112288,1043103,1,seg,0.1076,landrace
BKN030,112647,1038706,1,seg,0.1084,landrace
BKN031,114364,1055236,1,seg,0.1084,landrace
BKN032,113698,1063194,1,seg,0.1069,landrace
BKN033,113948,1045126,1,seg,0.109,landrace
BKN034,113020,1048343,1,seg,0.1078,landrace
BKN035,114164,1056423,1,seg,0.1081,landrace
BKN040,99213,946340,1,seg,0.1048,landrace
BKN009,91219,1065751,1,fixed,0.0856,landrace
BKN010,90848,1064983,1,fixed,0.0853,landrace
BKN011,91358,1065341,1,fixed,0.0858,landrace
BKN014,90721,1060658,1,fixed,0.0855,landrace
BKN015,90663,1058056,1,fixed,0.0857,landrace
BKN016,90893,1063045,1,fixed,0.0855,landrace
BKN017,88588,1029432,1,fixed,0.0861,landrace
BKN018,91175,1070464,1,fixed,0.0852,landrace
BKN019,91323,1071490,1,fixed,0.0852,landrace
BKN020,91421,1068539,1,fixed,0.0856,landrace
BKN022,90460,1061830,1,fixed,0.0852,landrace
BKN023,89751,1042545,1,fixed,0.0861,landrace
BKN025,90727,1056617,1,fixed,0.0859,landrace
BKN026,90838,1061065,1,fixed,0.0856,landrace
BKN027,91539,1072505,1,fixed,0.0854,landrace
BKN029,89616,1043103,1,fixed,0.0859,landrace
BKN030,89643,1038706,1,fixed,0.0863,landrace
BKN031,90586,1055236,1,fixed,0.0858,landrace
BKN032,91134,1063194,1,fixed,0.0857,landrace
BKN033,89780,1045126,1,fixed,0.0859,landrace
BKN034,89866,1048343,1,fixed,0.0857,landrace
BKN035,90391,1056423,1,fixed,0.0856,landrace
BKN040,82767,946340,1,fixed,0.0875,landrace
B73,52894,1197517,1,seg,0.0442,maize
LH1,41589,514824,1,seg,0.0808,maize
LH123HT,25912,322502,1,seg,0.0803,maize
LH82,41918,490181,1,seg,0.0855,maize
Mo17,99324,1140778,1,seg,0.0871,maize
PH207,33361,401214,1,seg,0.0832,maize
PHG35,44442,515794,1,seg,0.0862,maize
PHG39,39401,496364,1,seg,0.0794,maize
PHG47,42892,512611,1,seg,0.0837,maize
PHG84,34504,414242,1,seg,0.0833,maize
PHJ40,39345,469639,1,seg,0.0838,maize
PHZ51,53037,614761,1,seg,0.0863,maize
B73,127251,1197517,1,fixed,0.1063,maize
LH1,52715,514824,1,fixed,0.1024,maize
LH123HT,34777,322502,1,fixed,0.1078,maize
LH82,47081,490181,1,fixed,0.096,maize
Mo17,120770,1140778,1,fixed,0.1059,maize
PH207,42377,401214,1,fixed,0.1056,maize
PHG35,51776,515794,1,fixed,0.1004,maize
PHG39,51276,496364,1,fixed,0.1033,maize
PHG47,54406,512611,1,fixed,0.1061,maize
PHG84,42696,414242,1,fixed,0.1031,maize
PHJ40,49243,469639,1,fixed,0.1049,maize
PHZ51,62202,614761,1,fixed,0.1012,maize
BKN009,152683,771114,2,overall,0.198,landrace
BKN010,149386,770018,2,overall,0.194,landrace
BKN011,150265,762564,2,overall,0.1971,landrace
BKN014,152018,773584,2,overall,0.1965,landrace
BKN015,149132,774495,2,overall,0.1926,landrace
BKN016,152755,772239,2,overall,0.1978,landrace
BKN017,148479,742077,2,overall,0.2001,landrace
BKN018,150390,769626,2,overall,0.1954,landrace
BKN019,150901,772451,2,overall,0.1954,landrace
BKN020,147934,766975,2,overall,0.1929,landrace
BKN022,150815,767277,2,overall,0.1966,landrace
BKN023,147316,757832,2,overall,0.1944,landrace
BKN025,150487,768870,2,overall,0.1957,landrace
BKN026,148969,763676,2,overall,0.1951,landrace
BKN027,152014,773852,2,overall,0.1964,landrace
BKN029,147010,762864,2,overall,0.1927,landrace
BKN030,149592,759615,2,overall,0.1969,landrace
BKN031,151393,768037,2,overall,0.1971,landrace
BKN032,150699,772768,2,overall,0.195,landrace
BKN033,149200,757371,2,overall,0.197,landrace
BKN034,149059,759034,2,overall,0.1964,landrace
BKN035,150400,761973,2,overall,0.1974,landrace
BKN040,134079,680947,2,overall,0.1969,landrace
B73,134237,876451,2,overall,0.1532,maize
LH1,69674,363083,2,overall,0.1919,maize
LH123HT,44455,232975,2,overall,0.1908,maize
LH82,65419,347643,2,overall,0.1882,maize
Mo17,158551,832077,2,overall,0.1905,maize
PH207,54545,289513,2,overall,0.1884,maize
PHG35,70956,368103,2,overall,0.1928,maize
PHG39,66899,359399,2,overall,0.1861,maize
PHG47,71186,370212,2,overall,0.1923,maize
PHG84,55955,293121,2,overall,0.1909,maize
PHJ40,64756,336239,2,overall,0.1926,maize
PHZ51,84675,442884,2,overall,0.1912,maize
BKN009,87393,771114,2,seg,0.1133,landrace
BKN010,84439,770018,2,seg,0.1097,landrace
BKN011,85579,762564,2,seg,0.1122,landrace
BKN014,86714,773584,2,seg,0.1121,landrace
BKN015,83811,774495,2,seg,0.1082,landrace
BKN016,87550,772239,2,seg,0.1134,landrace
BKN017,85482,742077,2,seg,0.1152,landrace
BKN018,85847,769626,2,seg,0.1115,landrace
BKN019,85799,772451,2,seg,0.1111,landrace
BKN020,83033,766975,2,seg,0.1083,landrace
BKN022,86101,767277,2,seg,0.1122,landrace
BKN023,82822,757832,2,seg,0.1093,landrace
BKN025,85327,768870,2,seg,0.111,landrace
BKN026,84062,763676,2,seg,0.1101,landrace
BKN027,86741,773852,2,seg,0.1121,landrace
BKN029,81981,762864,2,seg,0.1075,landrace
BKN030,84908,759615,2,seg,0.1118,landrace
BKN031,86180,768037,2,seg,0.1122,landrace
BKN032,85480,772768,2,seg,0.1106,landrace
BKN033,84923,757371,2,seg,0.1121,landrace
BKN034,84555,759034,2,seg,0.1114,landrace
BKN035,85865,761973,2,seg,0.1127,landrace
BKN040,75002,680947,2,seg,0.1101,landrace
BKN009,65290,771114,2,fixed,0.0847,landrace
BKN010,64947,770018,2,fixed,0.0843,landrace
BKN011,64686,762564,2,fixed,0.0848,landrace
BKN014,65304,773584,2,fixed,0.0844,landrace
BKN015,65321,774495,2,fixed,0.0843,landrace
BKN016,65205,772239,2,fixed,0.0844,landrace
BKN017,62997,742077,2,fixed,0.0849,landrace
BKN018,64543,769626,2,fixed,0.0839,landrace
BKN019,65102,772451,2,fixed,0.0843,landrace
BKN020,64901,766975,2,fixed,0.0846,landrace
BKN022,64714,767277,2,fixed,0.0843,landrace
BKN023,64494,757832,2,fixed,0.0851,landrace
BKN025,65160,768870,2,fixed,0.0847,landrace
BKN026,64907,763676,2,fixed,0.085,landrace
BKN027,65273,773852,2,fixed,0.0843,landrace
BKN029,65029,762864,2,fixed,0.0852,landrace
BKN030,64684,759615,2,fixed,0.0852,landrace
BKN031,65213,768037,2,fixed,0.0849,landrace
BKN032,65219,772768,2,fixed,0.0844,landrace
BKN033,64277,757371,2,fixed,0.0849,landrace
BKN034,64504,759034,2,fixed,0.085,landrace
BKN035,64535,761973,2,fixed,0.0847,landrace
BKN040,59077,680947,2,fixed,0.0868,landrace
B73,41044,876451,2,seg,0.0468,maize
LH1,32838,363083,2,seg,0.0904,maize
LH123HT,19254,232975,2,seg,0.0826,maize
LH82,32633,347643,2,seg,0.0939,maize
Mo17,71030,832077,2,seg,0.0854,maize
PH207,24174,289513,2,seg,0.0835,maize
PHG35,34107,368103,2,seg,0.0927,maize
PHG39,30141,359399,2,seg,0.0839,maize
PHG47,31722,370212,2,seg,0.0857,maize
PHG84,25878,293121,2,seg,0.0883,maize
PHJ40,29758,336239,2,seg,0.0885,maize
PHZ51,40156,442884,2,seg,0.0907,maize
B73,93193,876451,2,fixed,0.1063,maize
LH1,36836,363083,2,fixed,0.1015,maize
LH123HT,25201,232975,2,fixed,0.1082,maize
LH82,32786,347643,2,fixed,0.0943,maize
Mo17,87521,832077,2,fixed,0.1052,maize
PH207,30371,289513,2,fixed,0.1049,maize
PHG35,36849,368103,2,fixed,0.1001,maize
PHG39,36758,359399,2,fixed,0.1023,maize
PHG47,39464,370212,2,fixed,0.1066,maize
PHG84,30077,293121,2,fixed,0.1026,maize
PHJ40,34998,336239,2,fixed,0.1041,maize
PHZ51,44519,442884,2,fixed,0.1005,maize
BKN009,149863,745067,3,overall,0.2011,landrace
BKN010,147566,745057,3,overall,0.1981,landrace
