file,genvar,resvar,totvar,h2,pheno,type,trait
MPH_asi_k_stime0_a2,0.255626,0.181921,0.437546,0.584225,asi,a2,MPH
MPH_asi_k_stime0_d2,0.195895,0.226122,0.422017,0.464188,asi,d2,MPH
MPH_asi_k_stime0_h2,0.218324,0.206849,0.425172,0.513495,asi,h2,MPH
perse_asi_k_stime0_a2,0.154551,0.180428,0.334979,0.461375,asi,a2,perse
perse_asi_k_stime0_d2,0.132754,0.189285,0.322039,0.41223,asi,d2,perse
perse_asi_k_stime0_h2,0.130478,0.189964,0.320442,0.407181,asi,h2,perse
MPH_dtp_k_stime0_a2,0.657651,0.249201,0.906852,0.725202,dtp,a2,MPH
MPH_dtp_k_stime0_d2,0.618373,0.253257,0.87163,0.709444,dtp,d2,MPH
MPH_dtp_k_stime0_h2,0.65211,0.226434,0.878543,0.742262,dtp,h2,MPH
perse_dtp_k_stime0_a2,5.18134,0.232093,5.41344,0.957126,dtp,a2,perse
perse_dtp_k_stime0_d2,4.00561,1.18416,5.18977,0.771827,dtp,d2,perse
perse_dtp_k_stime0_h2,4.47301,0.80608,5.27909,0.847307,dtp,h2,perse
MPH_dts_k_stime0_a2,1.0052,0.249728,1.25493,0.801002,dts,a2,MPH
MPH_dts_k_stime0_d2,0.813638,0.385857,1.1995,0.678317,dts,d2,MPH
MPH_dts_k_stime0_h2,0.876987,0.330973,1.20796,0.726007,dts,h2,MPH
perse_dts_k_stime0_a2,6.06195,0.235986,6.29794,0.96253,dts,a2,perse
perse_dts_k_stime0_d2,4.8817,1.19503,6.07674,0.803343,dts,d2,perse
perse_dts_k_stime0_h2,5.32125,0.838619,6.15987,0.863858,dts,h2,perse
MPH_eht_k_stime0_a2,23.4091,16.5413,39.9504,0.585953,eht,a2,MPH
MPH_eht_k_stime0_d2,21.7739,17.0387,38.8125,0.561001,eht,d2,MPH
MPH_eht_k_stime0_h2,32.5917,7.94538,40.5371,0.803998,eht,h2,MPH
perse_eht_k_stime0_a2,123.673,16.1119,139.785,0.884738,eht,a2,perse
perse_eht_k_stime0_d2,95.9942,38.6013,134.595,0.713205,eht,d2,perse
perse_eht_k_stime0_h2,126.449,13.5725,140.021,0.903068,eht,h2,perse
MPH_gy_k_stime0_a2,173.331,95.7931,269.124,0.644056,gy,a2,MPH
MPH_gy_k_stime0_d2,155.443,110.447,265.89,0.584612,gy,d2,MPH
MPH_gy_k_stime0_h2,229.664,50.1572,279.822,0.820753,gy,h2,MPH
perse_gy_k_stime0_a2,64.2699,98.8235,163.093,0.394068,gy,a2,perse
perse_gy_k_stime0_d2,53.2708,107.969,161.24,0.330382,gy,d2,perse
perse_gy_k_stime0_h2,112.895,58.9747,171.869,0.656863,gy,h2,perse
MPH_pht_k_stime0_a2,57.3822,45.8637,103.246,0.555782,pht,a2,MPH
MPH_pht_k_stime0_d2,66.1197,36.1101,102.23,0.646775,pht,d2,MPH
MPH_pht_k_stime0_h2,86.666,19.0839,105.75,0.819538,pht,h2,MPH
perse_pht_k_stime0_a2,380.234,43.5418,423.776,0.897253,pht,a2,perse
perse_pht_k_stime0_d2,294.119,113.453,407.572,0.721636,pht,d2,perse
perse_pht_k_stime0_h2,395.891,30.0626,425.954,0.929423,pht,h2,perse
MPH_tw_k_stime0_a2,0.976949,0.461842,1.43879,0.679007,tw,a2,MPH
MPH_tw_k_stime0_d2,0.677613,0.707099,1.38471,0.489353,tw,d2,MPH
MPH_tw_k_stime0_h2,1.08677,0.372592,1.45936,0.744688,tw,h2,MPH
perse_tw_k_stime0_a2,0.829874,0.461422,1.2913,0.642668,tw,a2,perse
perse_tw_k_stime0_d2,0.535429,0.708504,1.24393,0.430432,tw,d2,perse
perse_tw_k_stime0_h2,0.913584,0.393066,1.30665,0.69918,tw,h2,perse
