Genotype,Type,Parent1,Parent2,PHT,EHT,DTS,DTP,ASI,GY,TW
B73,Inbred,B73,B73,179.6973,89.95925,69.80693,67.83573,-2.036325,79.40193,55.77097
Check1,check,NA,NA,237.9843,105.68292,62.30803,62.04097,-0.339684,214.38678,59.02149
Check2,check,NA,NA,245.1177,112.90063,63.97814,63.8494,-0.046174,217.10103,58.69727
Check3,check,NA,NA,236.6564,103.23542,64.47993,64.11025,-0.382667,213.13951,56.29418
Check4,check,NA,NA,229.469,107.61404,61.9036,62.10456,0.179876,225.28063,54.6785
Check5,check,NA,NA,223.4594,105.07805,61.8036,61.48998,-0.379497,213.66023,57.73534
Check6,check,NA,NA,226.8065,95.18577,63.60732,63.76925,0.225403,217.37211,55.46471
hyb1,hybrid,B73,LH1,211.7511,99.38582,66.51451,64.68103,-1.90812,157.94822,58.75843
hyb10,hybrid,B73,PHJ40,214.9052,105.44562,61.51185,60.0626,-1.394806,168.88989,57.21139
hyb11,hybrid,B73,PHZ51,258.4578,128.31631,65.06434,63.81196,-1.232425,174.78407,56.69652
hyb12,hybrid,LH1,LH123HT,236.6088,102.54336,67.25436,65.97213,-1.213149,163.54259,57.63008
hyb13,hybrid,LH1,LH82,176.6001,79.75268,64.29814,63.38706,-0.909844,179.96456,57.77159
hyb14,hybrid,LH1,MO17,223.1079,105.96503,67.49476,64.94277,-2.547393,172.1616,57.68733
hyb15,hybrid,LH1,PH207,182.9657,79.87785,64.90038,62.39407,-2.515395,150.68649,57.33172
hyb16,hybrid,LH1,PHG35,205.4173,90.8403,65.09315,64.10872,-1.06094,146.16091,57.10873
hyb17,hybrid,LH1,PHG39,211.8679,96.28076,67.62039,66.79623,-0.916927,144.99402,58.36612
hyb18,hybrid,LH1,PHG47,200.1482,86.11509,64.8396,63.45256,-1.373028,169.21233,56.18974
hyb19,hybrid,LH1,PHG84,218.8656,91.67348,68.49322,66.85437,-1.753058,160.81424,58.30882
hyb2,hybrid,B73,LH123HT,268.929,133.41489,66.22823,65.38923,-0.708429,184.09768,57.59918
hyb20,hybrid,LH1,PHJ40,206.4204,87.53361,62.89438,61.83548,-1.023709,161.7915,57.62447
hyb21,hybrid,LH1,PHZ51,243.6838,113.21087,66.24173,65.85815,-0.373451,171.73573,57.64342
hyb22,hybrid,LH123HT,LH82,215.6147,99.51224,63.18114,62.95987,-0.225104,182.59571,57.25307
hyb23,hybrid,LH123HT,MO17,244.4515,120.84625,67.09144,66.03211,-1.015876,162.8341,56.78745
hyb24,hybrid,LH123HT,PH207,231.536,105.49907,63.3457,61.89375,-1.445372,174.57443,55.63843
hyb25,hybrid,LH123HT,PHG35,250.7785,118.92736,64.80067,64.84573,0.135441,172.65223,55.4989
hyb26,hybrid,LH123HT,PHG39,266.3883,126.05607,66.94736,66.25647,-0.587244,183.17518,58.72495
hyb27,hybrid,LH123HT,PHG47,239.5126,112.20038,65.44625,65.47898,0.067942,169.69186,56.9836
hyb28,hybrid,LH123HT,PHG84,245.3644,113.91505,68.1764,66.89791,-1.242847,172.22121,57.10454
hyb29,hybrid,LH123HT,PHJ40,214.5648,104.6269,61.30368,61.00024,-0.329524,160.24354,59.03212
hyb3,hybrid,B73,LH82,211.8278,103.24762,63.07385,61.90854,-1.178514,192.60219,56.43261
hyb30,hybrid,LH123HT,PHZ51,253.4695,127.32111,65.52843,64.18236,-1.311573,166.75677,56.82797
hyb31,hybrid,LH82,MO17,200.4119,100.86854,63.30482,61.88346,-1.396716,176.22794,56.64276
hyb32,hybrid,LH82,PH207,187.1247,86.39711,60.57567,59.55509,-0.99872,166.96321,55.86596
hyb33,hybrid,LH82,PHG35,194.927,88.04151,60.63623,60.57092,-0.126841,167.67185,56.67266
hyb34,hybrid,LH82,PHG39,210.6311,95.6388,64.14055,63.1471,-0.963884,182.5411,58.91032
hyb35,hybrid,LH82,PHG47,191.2944,85.30002,61.0276,60.37573,-0.598549,183.99292,56.29763
hyb36,hybrid,LH82,PHG84,207.915,98.20472,64.55413,64.1458,-0.451776,175.16452,57.27368
hyb37,hybrid,LH82,PHJ40,187.13,90.6813,58.43232,57.96591,-0.366463,170.69123,57.70762
hyb38,hybrid,LH82,PHZ51,218.0147,107.53049,62.84566,61.65743,-1.220561,180.57117,56.7919
hyb39,hybrid,MO17,PH207,225.3563,112.34422,64.03648,62.4377,-1.527781,172.45995,55.81307
hyb4,hybrid,B73,MO17,245.0459,123.79905,65.91955,64.36143,-1.549398,197.09348,55.25181
hyb40,hybrid,MO17,PHG35,228.2054,114.29615,64.12237,63.85948,-0.325876,170.60413,55.88285
hyb41,hybrid,MO17,PHG39,245.5067,116.35052,66.26218,65.20042,-1.080984,202.22548,58.28816
