Hyb,Par1,Par2,valHyb,valPar1,valPar2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait
hyb1,B73,LH1,211.7511,179.6973,125.8664,32.054,0.1784,85.885,0.2547,58.969,0.5621,PHT
hyb2,B73,LH123HT,268.929,179.6973,207.3683,61.561,0.2969,89.232,0.3426,75.396,0.4611,PHT
hyb3,B73,LH82,211.8278,179.6973,126.0214,32.13,0.1788,85.806,0.255,58.968,0.5613,PHT
hyb4,B73,MO17,245.0459,179.6973,179.5077,65.349,0.3637,65.538,0.364,65.443,0.3649,PHT
hyb5,B73,PH207,217.8383,179.6973,145.8865,38.141,0.2123,71.952,0.2614,55.046,0.442,PHT
hyb6,B73,PHG35,231.1446,179.6973,173.1114,51.447,0.2863,58.033,0.2972,54.74,0.329,PHT
hyb7,B73,PHG39,242.279,179.6973,185.6378,56.641,0.3051,62.582,0.3152,59.611,0.3426,PHT
hyb8,B73,PHG47,228.8497,179.6973,124.1814,49.152,0.2735,104.668,0.3958,76.91,0.6889,PHT
hyb9,B73,PHG84,250.8736,179.6973,169.6718,71.176,0.3961,81.202,0.4195,76.189,0.4648,PHT
hyb10,B73,PHJ40,214.9052,179.6973,128.6732,35.208,0.1959,86.232,0.2736,60.72,0.5593,PHT
hyb11,B73,PHZ51,258.4578,179.6973,193.5244,64.933,0.3355,78.761,0.3613,71.847,0.4221,PHT
hyb12,LH1,LH123HT,236.6088,125.8664,207.3683,29.24,0.141,110.742,0.2323,69.991,0.6646,PHT
hyb13,LH1,LH82,176.6001,125.8664,126.0214,50.579,0.4014,50.734,0.4018,50.656,0.4028,PHT
hyb14,LH1,MO17,223.1079,125.8664,179.5077,43.6,0.2429,97.242,0.3464,70.421,0.6369,PHT
hyb15,LH1,PH207,182.9657,125.8664,145.8865,37.079,0.2542,57.099,0.2946,47.089,0.4202,PHT
hyb16,LH1,PHG35,205.4173,125.8664,173.1114,32.306,0.1866,79.551,0.2567,55.928,0.5322,PHT
