id	type	geno	DN	nonmiss	DR	ordered
BKN009	fixed	landrace	567582	6530555	0.0869	b
BKN009	overall	landrace	1297195	6530555	0.1986	a
BKN009	seg	landrace	729613	6530555	0.1117	c
BKN010	fixed	landrace	566523	6538957	0.0866	b
BKN010	overall	landrace	1279955	6538957	0.1957	a
BKN010	seg	landrace	713432	6538957	0.1091	c
BKN011	fixed	landrace	565744	6491172	0.0872	b
BKN011	overall	landrace	1270860	6491172	0.1958	a
BKN011	seg	landrace	705116	6491172	0.1086	c
BKN014	fixed	landrace	567989	6545411	0.0868	b
BKN014	overall	landrace	1288792	6545411	0.1969	a
BKN014	seg	landrace	720803	6545411	0.1101	c
BKN015	fixed	landrace	568129	6539857	0.0869	b
BKN015	overall	landrace	1275507	6539857	0.195	a
BKN015	seg	landrace	707378	6539857	0.1082	c
BKN016	fixed	landrace	568357	6544568	0.0868	b
BKN016	overall	landrace	1289156	6544568	0.197	a
BKN016	seg	landrace	720799	6544568	0.1101	c
BKN017	fixed	landrace	550341	6299731	0.0874	b
BKN017	overall	landrace	1254097	6299731	0.1991	a
BKN017	seg	landrace	703756	6299731	0.1117	c
BKN018	fixed	landrace	565617	6544606	0.0864	b
BKN018	overall	landrace	1272438	6544606	0.1944	a
BKN018	seg	landrace	706821	6544606	0.108	c
BKN019	fixed	landrace	568621	6575724	0.0865	b
BKN019	overall	landrace	1284988	6575724	0.1954	a
BKN019	seg	landrace	716367	6575724	0.1089	c
BKN020	fixed	landrace	567030	6519381	0.087	b
BKN020	overall	landrace	1273780	6519381	0.1954	a
BKN020	seg	landrace	706750	6519381	0.1084	c
BKN022	fixed	landrace	563765	6505519	0.0867	b
BKN022	overall	landrace	1286018	6505519	0.1977	a
BKN022	seg	landrace	722253	6505519	0.111	c
BKN023	fixed	landrace	557848	6373149	0.0875	b
BKN023	overall	landrace	1260258	6373149	0.1977	a
BKN023	seg	landrace	702410	6373149	0.1102	c
BKN025	fixed	landrace	566587	6510037	0.087	b
BKN025	overall	landrace	1277090	6510037	0.1962	a
BKN025	seg	landrace	710503	6510037	0.1091	c
BKN026	fixed	landrace	563598	6474341	0.0871	b
BKN026	overall	landrace	1270855	6474341	0.1963	a
BKN026	seg	landrace	707257	6474341	0.1092	c
BKN027	fixed	landrace	570533	6581821	0.0867	b
BKN027	overall	landrace	1285385	6581821	0.1953	a
BKN027	seg	landrace	714852	6581821	0.1086	c
BKN029	fixed	landrace	559720	6411444	0.0873	b
BKN029	overall	landrace	1261344	6411444	0.1967	a
BKN029	seg	landrace	701624	6411444	0.1094	c
BKN030	fixed	landrace	559441	6384341	0.0876	b
BKN030	overall	landrace	1265127	6384341	0.1982	a
BKN030	seg	landrace	705686	6384341	0.1105	c
BKN031	fixed	landrace	566410	6504880	0.0871	b
BKN031	overall	landrace	1281763	6504880	0.197	a
BKN031	seg	landrace	715353	6504880	0.11	c
BKN032	fixed	landrace	566959	6533791	0.0868	b
BKN032	overall	landrace	1277626	6533791	0.1955	a
BKN032	seg	landrace	710667	6533791	0.1088	c
BKN033	fixed	landrace	560377	6421902	0.0873	b
BKN033	overall	landrace	1268203	6421902	0.1975	a
BKN033	seg	landrace	707826	6421902	0.1102	c
BKN034	fixed	landrace	560974	6436129	0.0872	b
BKN034	overall	landrace	1263927	6436129	0.1964	a
BKN034	seg	landrace	702953	6436129	0.1092	c
BKN035	fixed	landrace	562466	6474182	0.0869	b
BKN035	overall	landrace	1273486	6474182	0.1967	a
BKN035	seg	landrace	711020	6474182	0.1098	c
BKN040	fixed	landrace	516018	5810432	0.0888	b
BKN040	overall	landrace	1133567	5810432	0.1951	a
BKN040	seg	landrace	617549	5810432	0.1063	c
LH1	fixed	maize	332281	3162743	0.1051	b
LH1	overall	maize	586876	3162743	0.1856	a
LH1	seg	maize	254595	3162743	0.0805	c
LH123HT	fixed	maize	221344	1999599	0.1107	b
LH123HT	overall	maize	378360	1999599	0.1892	a
LH123HT	seg	maize	157016	1999599	0.0785	c
LH82	fixed	maize	291124	2971830	0.098	b
LH82	overall	maize	552719	2971830	0.186	a
LH82	seg	maize	261595	2971830	0.088	c
Mo17	fixed	maize	764374	7035491	0.1086	b
Mo17	overall	maize	1364075	7035491	0.1939	a
Mo17	seg	maize	599701	7035491	0.0852	c
PH207	fixed	maize	269176	2468468	0.109	b
PH207	overall	maize	470356	2468468	0.1905	a
PH207	seg	maize	201180	2468468	0.0815	c
PHG35	fixed	maize	324320	3147165	0.1031	b
PHG35	overall	maize	598121	3147165	0.1901	a
PHG35	seg	maize	273801	3147165	0.087	c
PHG39	fixed	maize	324118	3055200	0.1061	b
PHG39	overall	maize	565092	3055200	0.185	a
PHG39	seg	maize	240974	3055200	0.0789	c
PHG47	fixed	maize	344557	3159088	0.1091	b
PHG47	overall	maize	605320	3159088	0.1916	a
PHG47	seg	maize	260763	3159088	0.0825	c
PHG84	fixed	maize	267744	2520140	0.1062	b
PHG84	overall	maize	480188	2520140	0.1905	a
PHG84	seg	maize	212444	2520140	0.0843	c
PHJ40	fixed	maize	310572	2890656	0.1074	b
PHJ40	overall	maize	546826	2890656	0.1892	a
PHJ40	seg	maize	236254	2890656	0.0817	c
PHZ51	fixed	maize	390072	3768841	0.1035	b
PHZ51	overall	maize	711701	3768841	0.1888	a
PHZ51	seg	maize	321629	3768841	0.0853	c
