Hyb,P1,P2,GCA1.all,GCA2.all,SCA.all,GCA1.09,GCA2.09,SCA.09,GCA1.10,GCA2.10,SCA.10,GCA1.11,GCA2.11,SCA.11,trait
hyb1,B73,LH1,7.4234,-11.3912,-14.7249,7.9584,-8.3943,-7.9002,5.9359,-20.6918,-19.171,7.5612,-4.4609,-15.5606,GY
hyb2,B73,LH123HT,7.4234,0.2731,13.6028,7.9584,-0.0043,6.7531,5.9359,6.3085,23.5117,7.5612,-6.1009,5.9008,GY
hyb3,B73,LH82,7.4234,6.3823,21.0094,7.9584,8.7251,23.0102,5.9359,9.0332,27.7559,7.5612,1.8453,7.6013,GY
hyb4,B73,MO17,7.4234,5.0206,24.8844,7.9584,8.6949,41.5655,5.9359,7.9191,15.3211,7.5612,-0.4201,19.9915,GY
hyb5,B73,PH207,7.4234,-7.5891,-21.9633,7.9584,-12.6468,-53.9732,5.9359,-6.3092,-9.8471,7.5612,-3.5705,-1.779,GY
hyb6,B73,PHG35,7.4234,-7.7604,3.8925,7.9584,-7.9836,8.2857,5.9359,-8.8553,-2.1335,7.5612,-8.2797,3.8395,GY
hyb7,B73,PHG39,7.4234,9.0371,14.7075,7.9584,8.9365,22.6619,5.9359,11.9236,21.4435,7.5612,6.0706,-3.1457,GY
hyb8,B73,PHG47,7.4234,9.5511,25.4283,7.9584,6.2837,18.3105,5.9359,11.4794,24.6784,7.5612,11.4473,32.7326,GY
hyb9,B73,PHG84,7.4234,-0.9999,9.2627,7.9584,-5.3033,24.0013,5.9359,2.1293,-5.1804,7.5612,0.1324,9.5027,GY
hyb10,B73,PHJ40,7.4234,-7.0802,-3.2438,7.9584,-7.2533,-9.6302,5.9359,-8.6163,-1.6341,7.5612,-4.1227,0.8956,GY
hyb11,B73,PHZ51,7.4234,-2.8666,1.3781,7.9584,0.9869,6.4991,5.9359,-10.2564,-15.386,7.5612,-0.1021,15.6337,GY
hyb12,LH1,LH123HT,-11.3912,0.2731,-8.3365,-8.3943,-0.0043,-9.1028,-20.6918,6.3085,-14.6582,-4.4609,-6.1009,-2.0352,GY
hyb13,LH1,LH82,-11.3912,6.3823,8.2653,-8.3943,8.7251,4.8147,-20.6918,9.0332,-9.5553,-4.4609,1.8453,33.9729,GY
hyb14,LH1,MO17,-11.3912,5.0206,-0.3442,-8.3943,8.6949,1.4667,-20.6918,7.9191,0.5013,-4.4609,-0.4201,3.8717,GY
hyb15,LH1,PH207,-11.3912,-7.5891,-22.0976,-8.3943,-12.6468,-29.7989,-20.6918,-6.3092,-24.0309,-4.4609,-3.5705,-9.4428,GY
hyb16,LH1,PHG35,-11.3912,-7.7604,-26.5864,-8.3943,-7.9836,-9.9316,-20.6918,-8.8553,-47.909,-4.4609,-8.2797,-22.9666,GY
hyb17,LH1,PHG39,-11.3912,9.0371,-25.2469,-8.3943,8.9365,-23.2308,-20.6918,11.9236,-39.2687,-4.4609,6.0706,-17.2102,GY
hyb18,LH1,PHG47,-11.3912,9.5511,-3.5477,-8.3943,6.2837,11.4498,-20.6918,11.4794,-8.675,-4.4609,11.4473,-12.0428,GY
hyb19,LH1,PHG84,-11.3912,-0.9999,-10.7962,-8.3943,-5.3033,-10.949,-20.6918,2.1293,-29.669,-4.4609,0.1324,7.995,GY
hyb20,LH1,PHJ40,-11.3912,-7.0802,-10.6493,-8.3943,-7.2533,-14.6619,-20.6918,-8.6163,-12.6248,-4.4609,-4.1227,-4.3122,GY
hyb21,LH1,PHZ51,-11.3912,-2.8666,0.1525,-8.3943,0.9869,3.9011,-20.6918,-10.2564,-1.8574,-4.4609,-0.1021,-6.8781,GY
