"phenotype","p-value","mode","r_real","r_cs","trait","FDR"
"1","ASI",0.0082881724122894,"additive",0.610502491378399,0.552918789920821,"perse",0.0476569913706641
"2","ASI",0.00692436391891855,"dominant",0.566370603477537,0.489467651797984,"perse",0.0476569913706641
"3","DTP",0.0752325990951495,"additive",0.95809805571384,0.951503710197698,"perse",0.185617479509862
"4","DTP",0.032714079353837,"dominant",0.871355913631039,0.84173871023772,"perse",0.105331558608004
"5","DTS",0.0318739665428019,"additive",0.962397525320551,0.954738497728744,"perse",0.105331558608004
"6","DTS",0.0735429908265203,"dominant",0.881472722595944,0.857947460276636,"perse",0.185617479509862
"7","EHT",0.076668089362769,"additive",0.907809178534634,0.896716250956168,"perse",0.185617479509862
"8","EHT",0.385246273659574,"dominant",0.793342826374737,0.788334142029133,"perse",0.708853143533616
"9","GY",0.652804776223384,"additive",0.490286369385808,0.501557137439178,"perse",0.999986143669985
"10","GY",0.0563299474760423,"dominant",0.375086181389348,0.313019518080636,"perse",0.161948598993622
"11","PHT",0.000395665059378516,"additive",0.936706926665999,0.923008087666755,"perse",0.00910029636570587
"12","PHT",0.372626383101902,"dominant",0.812959534256713,0.807756196655936,"perse",0.708853143533616
"13","TW",0.526271351664643,"additive",0.769228452500515,0.770077128418885,"perse",0.834775247468054
"14","TW",0.0179684371434283,"dominant",0.585000168020664,0.53198590527989,"perse",0.0688790090498085
"15","ASI",0.994444833743901,"additive",0.340050100612335,0.437862850644239,"BPHmax",0.999986143669985
"16","ASI",0.825223959564642,"dominant",0.398599548478349,0.431510238779352,"BPHmax",0.999986143669985
"17","DTP",0.964431384160015,"additive",0.239257809128985,0.302094542140424,"BPHmax",0.999986143669985
"18","DTP",0.00349031753690704,"dominant",0.323114512333268,0.218982058242716,"BPHmax",0.0321109213395448
"19","DTS",0.77541776257073,"additive",0.429094082443317,0.453599182568286,"BPHmax",0.999986143669985
"20","DTS",5.16634200669393e-08,"dominant",0.605873693504454,0.4165618182706,"BPHmax",2.37651732307921e-06
"21","EHT",0.852739071805583,"additive",0.335166793507371,0.369977131060007,"BPHmax",0.999986143669985
"22","EHT",0.469241461025572,"dominant",0.227008808112793,0.223986088892493,"BPHmax",0.770896685970583
"23","GY",0.00181504976115501,"additive",0.653029725705501,0.579843300354023,"BPHmax",0.0278307630043768
"24","GY",0.104414041974039,"dominant",0.510150806769983,0.467555922133808,"BPHmax",0.228716472895514
"25","PHT",0.307152894530424,"additive",0.291816094351196,0.274575363534898,"BPHmax",0.614305789060848
"26","PHT",0.729789365485513,"dominant",0.212109751814163,0.235961410784074,"BPHmax",0.999986143669985
"27","TW",0.282352047020609,"additive",0.775998418282036,0.766850287055751,"BPHmax",0.590372461952182
"28","TW",0.00798320289846956,"dominant",0.649260651512684,0.589985408276463,"BPHmax",0.0476569913706641
"43","ASI",0.987816570590217,"additive",0.689524444404452,0.729534030545529,"BPHmin",0.999986143669985
"44","ASI",0.901691240996201,"dominant",0.53313856973525,0.625373519432153,"BPHmin",0.999986143669985
