"phenotype" "p-value" "mode" "r_real" "r_cs" "trait" "FDR"
"1" "ASI" 0.981346192398959 "additive" 0.628398266693093 0.681463218818172 "perse" 0.999999967802965
"2" "ASI" 0.459679197619947 "dominant" 0.590914173298463 0.587935389876163 "perse" 0.999999967802965
"3" "DTP" 0.642949787523195 "additive" 0.966414097697162 0.967781760945562 "perse" 0.999999967802965
"4" "DTP" 0.400621848813518 "dominant" 0.865895085181304 0.861802271731924 "perse" 0.999999967802965
"5" "DTS" 0.870711107472603 "additive" 0.967759678360393 0.970239481667243 "perse" 0.999999967802965
"6" "DTS" 0.642512024879676 "dominant" 0.873978287915686 0.879653469401237 "perse" 0.999999967802965
"7" "EHT" 0.125053076690268 "additive" 0.926384624668567 0.916633364944561 "perse" 0.821777361107475
"8" "EHT" 0.909436588676427 "dominant" 0.788492166645227 0.811812516830052 "perse" 0.999999967802965
"9" "GY" 4.21809184426814e-05 "additive" 0.687039117547511 0.591263572963099 "perse" 0.000970161124181672
"10" "GY" 0.199029285616494 "dominant" 0.463052534465129 0.43633592019905 "perse" 0.873387536264599
"11" "PHT" 0.0160247542806978 "additive" 0.954085360519067 0.94432578261724 "perse" 0.14742773938242
"12" "PHT" 0.851840464429138 "dominant" 0.81878616359725 0.837622529329832 "perse" 0.999999967802965
"13" "TW" 0.525024122339391 "additive" 0.779197080045216 0.779922076607015 "perse" 0.999999967802965
"14" "TW" 0.923123040223022 "dominant" 0.61289330867016 0.645796825742453 "perse" 0.999999967802965
"15" "ASI" 0.594510226243754 "additive" 0.537797039156958 0.543466977816873 "BPHmax" 0.999999967802965
"16" "ASI" 0.906724089305842 "dominant" 0.557326206873966 0.588353914120951 "BPHmax" 0.999999967802965
"17" "DTP" 0.995814261017178 "additive" 0.310849034113478 0.412044124674496 "BPHmax" 0.999999967802965
"18" "DTP" 0.351951603119042 "dominant" 0.675034676776602 0.663717326271582 "BPHmax" 0.999999967802965
"19" "DTS" 0.999999967802965 "additive" 0.421636427991228 0.599327704002667 "BPHmax" 0.999999967802965
"20" "DTS" 0.243970947467084 "dominant" 0.783187799536962 0.769232529670106 "BPHmax" 0.935221965290489
"21" "EHT" 0.0881090590027698 "additive" 0.458944181648849 0.415653732367381 "BPHmax" 0.675502785687902
"22" "EHT" 0.601745051345751 "dominant" 0.255514684662137 0.265606818244801 "BPHmax" 0.999999967802965
"23" "GY" 2.32484786033416e-06 "additive" 0.767715467167521 0.666051649903225 "BPHmax" 0.000106943001575371
"24" "GY" 0.146391916596186 "dominant" 0.665578304870516 0.636450323828751 "BPHmax" 0.84175352042807
"25" "PHT" 0.000502701866629508 "additive" 0.485813219119906 0.37401236093534 "BPHmax" 0.00770809528831912
"26" "PHT" 0.881235457877216 "dominant" 0.48290731701463 0.512893805866468 "BPHmax" 0.999999967802965
"27" "TW" 0.471070420216671 "additive" 0.790366230952089 0.789418514755928 "BPHmax" 0.999999967802965
"28" "TW" 0.894651079059146 "dominant" 0.659022547819073 0.688307770506054 "BPHmax" 0.999999967802965
"43" "ASI" 0.742322052472576 "additive" 0.718193399220822 0.729534030545529 "BPHmin" 0.999999967802965
"44" "ASI" 0.987554187606098 "dominant" 0.568237115280775 0.625373519432153 "BPHmin" 0.999999967802965
