trait,mode,anova_model2-model1,anova_model4-model3
ASI,additive,0.00290243,0.38514413
ASI,dominant,4.29E-06,0.872504552
DTP,additive,2.01E-28,0.000224074
DTP,dominant,0.057103703,0.030624059
DTS,additive,1.83E-26,3.25E-05
DTS,dominant,0.007468693,0.166793108
EHT,additive,1.31E-36,0.000638412
EHT,dominant,0.082217166,0.164315686
GY,additive,3.86E-16,0.085446084
GY,dominant,0.042754956,0.52803518
PHT,additive,9.64E-33,0.055291319
PHT,dominant,0.083883984,0.669645261
TW,additive,1.69E-17,0.014727784
TW,dominant,0.45923188,0.360807059
